Answer.OpenAnswer1,Answer.ClockTimeLocation
"""Local time please""",
Can you tell me the time please?,
can you tell me what time it is in Sidney,Sidney
Could you tell me the current time,
Could you tell me whats the time,
time in Beijing,Beijing
Do you know what time it is,
what time is it,
what's the time in New York right now?,New York
I would like to know the current time in Tokyo,Tokyo
Please show me the time in Chicago,Chicago
Please show me the local time.,
please tell me the time.,
Tell me the current time,
Tell me the current time please,
Tell me the current time.,
Tell me the time in PA,PA
Tell me the time,
tell me the time now,
Tell me the time please,
Tell me the time.,
tell me the time in California,California
Tell me the time in Chicago,Chicago
what time is it in Tucson.,Tucson
Tell me what time it is.,
what's the current time in the Bay Area.,Bay Area
TIME IN LOS ANGELES,LOS ANGELES
time of day,
time please,
time?,
do you have the time,
"What  time is it in  Nice, France?","Nice, France"
What is the local time in New York?,New York
What is the local time?,
What is the time,
What is the time here,
What is the time here?,
What is the time in Bangkok,Bangkok
"What is the time in Carbondale, Illinois","Carbondale, Illinois"
What is the time in Florida.,Florida
what is the time in Los Angeles?,Los Angeles
what is the time in New York City,New York City
What is the time in New York?,New York
What is the time in Portland Oregon?,Portland Oregon
What is the time where i am,
What is the current time.,
What is the local time now?,
What is the local time?,
What is the time,
What is the time at home?,Home
WHAT IS THE TIME IN HONG KONG,HONG KONG
"What is the time in Maine, USA?","Maine, USA"
What is the time in Tokyo?,Tokyo
What is the time now,
What is the time in Nigeria,Nigeria
What time is it?,
What time is it,
What time is it at home?,home
What time is it in California?,California
What time is it in Paris?,Paris
What time is it in Seattle?,Seattle
What time is it here?,
What time is it in Amsterdam?,Amsterdam
"What time is it in Athens, Greece","Athens Greece"
"What time is it in Austin, Texas","Austin Texas"
What time is it in Boston?,Boston
What time is it in California,California
What time is it in California?,California
What time is it in Chicago,Chicago
What time is it in China?,China
"What time is it in Cleveland, Ohio?","Cleveland Ohio"
"What time is it in Columbus, OH?","Columbus, OH"
What time is it in Durham,Durham
What time is it in Hawaii?,Hawaii
"What time is it in Honolulu, Hawaii?","Honolulu, Hawaii"
What time is it in Illinois?,Illinois
What time is it in Indianapolis,Indianapolis
What time is it in Juneau Alaska?,Juneau Alaska
What time is it in LA?,LA
What time is it in Las Vegas?,Las Vegas
What time is it in Los Angeles?,Los Angeles
What time is it in Madrid?,Madrid
"What time is it in Michigan City, Indiana.","Michigan City, Indiana"
What time is it in New York City,New York City
WHat time is it in New York?,New York
What time is it in New Zealand?,New Zealand
What time is it in Paris?,Paris
What time is it in Portland?,Portland
"What time is it in Rothbury, Michigan?","Rothbury, Michigan"
What time is it in San Francisco right now?,San Francisco
What time is it in Saskatchewan?,Saskatchewan
"What time is it in Tacoma, Washington right now?","Tacoma, Washington"
What time is it in Tokyo right now?,Tokyo
What time is it in Toronto?,Toronto
What time is it in Wisconsin?,Wisconsin
What time is it in Miami?,Miami
What time is it in Saudi Arabia?,Saudi Arabia
What time is it now?,
what time is it in santa monica now, santa monica
what time is it in london now, london
what time is it in east hanover new jersey now, east hanover new jersey
What time is it?,
what time it is?,
"What's the current time in Dallas, Texas?","Dallas, Texas"
whats the time,
what's the time,
What's the time?,
