genre,gracenote_genre,id
acid jazz,,
acid rock,,
african blues,,
African hip hop,,
afro cuban jazz,,
afro house,,
afrobeat,,
afro-cubano jazz,,
alt rock ,Alternative,25961
Alternative,Alternative,25961
alternative country,,
alternative metal,,
alternative rap,,
alternative rock ,Alternative,25961
alt-rock,Alternative,25961
Ambient ,,
american folk,,
arab pop,,
arena rock,,
Australian hip hop,,
bachata,,
baltimore club,,
bebop,,
bhangra,,
bluegrass,,
Blues,Blues,36060
Bongo Flava,,
bossa nova,,
bounce,,
bouyon,,
brazilian rock,,
british blues,,
british hip hop,,
bubblegum pop,,
cajun,,
calypso ,,
canadian blues,,
cantopop,,
cape jazz,,
Celtic,,
chalga,,
chap hop,,
chicago house,,
childrens,Children's,25980
Children's,Children's,25980
chimurenga,,
chinese rock,,
choro,,
Christian,Gospel & Christian,25976
christian country,,
christian hip hop,,
christian pop,,
christian rock,,
Classical,Classical,36061
Comedy,"Comedy, Spoken & Other",36064
conscious hip hop,,
cool jazz,,
Country ,Country & Western,36059
country blues,,
country pop,Country & Western,36059
country rap,,
country rock,,
c-pop,,
crunk,,
Dance,Dance & House,36054
dancehall,,
dangdut,,
death metal,,
deathcore,,
deep house ,,
delta blue,,
detroit rap,,
disco,,
dixieland,,
dub,,
dub techno,,
dubstep,,
east coast hip hop,,
east coast rap ,,
EDM,Dance & House,36054
electic blues,,
electro house,,
electro swing,,
electronic dance music,Dance & House,36055
Electronica,Electronica,36055
electropop,,
emo,,
euro house,,
eurobeat,,
eurodance,,
europop,,
experimental,,
fijiri,,
flamenco,,
Folk ,Folk ,25971
folk metal,,
folk rock,,
folktronica,,
french pop,,
fuji,,
garage punk,,
garage rock,,
genge,,
glam rock,,
go-go,,
Gospel,Gospel & Christian,25976
goth,,
gothic rock,,
grime,,
grunge,,
gypsy jazz,,
hard rock,,
hardcore,,
heavy metal ,Metal ,36053
hill country blues,,
Hip Hop,Rap/Hip-Hop,36058
hip house,,
Hip-Hop,Rap/Hip-Hop,36058
honky tonk,,
House,Dance & House,36054
hyphy,,
IDM,,
igbo highlife,,
igbo rap,,
indian pop,,
Indie,Indie,36052
indie folk,,
indie rock ,Indie,36052
industrial rock,,
instrumental,,
Jazz,Jazz,25974
jazz rap,,
jerkin,,
j-pop,,
j-rock,,
kansas city blues,,
kansas city jazz,,
kids,Children's,25980
kid's,Children's,25980
Kizomba,,
k-pop,,
korean pop,,
korean,,
kuduro,,
kwaito,,
kwela,,
Latin,Latin,25982
latin jazz,,
latin metal,,
latin pop,,
latin rock,,
lavani,,
lo-fi,,
louisiana blues,,
lovers rock,,
maloya,,
mambo,,
mandopop,,
maracatu,,
mariachi,,
memphis blues,,
merengue,,
merenrap,,
Metal ,Metal ,36053
metalcore,,
miami house,,
midwest hip hop,,
modern jazz,,
motswako,,
movie,Soundtrack,36063
neo-soul,,
neo soul,,
New Age,New Age,36062
new school hip hop,,
new wave,,
norteno,,
old school hip hop,,
Oldies,Oldies,25965
p-funk,,
Pop ,Pop,36056
pop punk,,
pop rock,,
p-pop,,
Progressive rock,,
psychedelic rock,,
Punk ,Punk ,36051
punk rock ,Punk ,36051
R and B,Soul/R&B,36057
R&B,Soul/R&B,36057
ragga,,
ragini,,
ranchera,,
Rap,Rap/Hip-Hop,36058
rasin,,
Reggae,Reggae,36065
reggaeton,,
rhythm and blues,Soul/R&B,36057
Rock,Rock,25964
rock and roll,rock,25964
rocksteady,,
rumba,,
salsa,,
seggae,,
shangaan electro,,
ska,,
ska jazz,,
ska punk,,
soca,,
son cubano,,
songo,,
soukous,,
Soul,Soul/R&B,36057
Soundtrack,Soundtrack,36063
south african house,,
southern rock,,
southern soul,,
st. louis blues,,
taiwanese pop,,
tango,,
tech house,,
techno,Dance & House,36056
technobrega,,
tecno brega,,
teen pop,,
tejano,,
texas blues,,
texas country,,
thai pop,,
Thrash metal,,
timba,,
trance,,
trap,,
trap soul,,
tribal house,,
uk garage,,
vintage,Traditional pop,25978
v-pop,,
west coast jazz,,
west coast rap ,,
Western,Country & Western,36059
World,World,25984
zouk,,
